2025-12-13 11:26:55,157 - INFO - Importing data from kaggle API
2025-12-13 11:26:56,460 - INFO - Import Done, Time taken 1.3 seconds
2025-12-13 11:27:03,570 - INFO - Loading table assessments with shape (206, 6)
2025-12-13 11:27:03,671 - INFO - Loaded successfully: assessments, time taken 0.1 seconds
2025-12-13 11:27:03,674 - INFO - Loading table courses with shape (22, 3)
2025-12-13 11:27:03,749 - INFO - Loaded successfully: courses, time taken 0.08 seconds
2025-12-13 11:27:03,835 - INFO - Loading table studentAssessment with shape (173912, 5)
2025-12-13 11:27:09,188 - INFO - Loaded successfully: studentAssessment, time taken 5.35 seconds
2025-12-13 11:27:09,250 - INFO - Loading table studentInfo with shape (32593, 12)
2025-12-13 11:27:11,190 - INFO - Loaded successfully: studentInfo, time taken 1.94 seconds
2025-12-13 11:27:11,209 - INFO - Loading table studentRegistration with shape (32593, 5)
2025-12-13 11:27:12,592 - INFO - Loaded successfully: studentRegistration, time taken 1.38 seconds
2025-12-13 11:27:18,181 - INFO - Loading table studentVle with shape (10655280, 6)
2025-12-13 11:33:56,202 - INFO - Loaded successfully: studentVle, time taken 398.02 seconds
2025-12-13 11:33:56,593 - INFO - Loading table vle with shape (6364, 6)
2025-12-13 11:33:57,507 - INFO - Loaded successfully: vle, time taken 0.91 seconds
