2025-12-13 11:37:24,672 - INFO - Importing data from kaggle API
2025-12-13 11:37:26,316 - INFO - Import Done, Time taken 1.64 seconds
2025-12-13 11:37:29,844 - INFO - Loading table olist_customers_dataset with shape (99441, 5)
2025-12-13 11:37:35,098 - INFO - Loaded successfully: olist_customers_dataset, time taken 5.25 seconds
2025-12-13 11:37:36,059 - INFO - Loading table olist_geolocation_dataset with shape (1000163, 5)
2025-12-13 11:38:15,950 - INFO - Loaded successfully: olist_geolocation_dataset, time taken 39.89 seconds
2025-12-13 11:38:16,502 - INFO - Loading table olist_orders_dataset with shape (99441, 8)
2025-12-13 11:38:22,326 - INFO - Loaded successfully: olist_orders_dataset, time taken 5.82 seconds
2025-12-13 11:38:22,663 - INFO - Loading table olist_order_items_dataset with shape (112650, 7)
2025-12-13 11:38:28,994 - INFO - Loaded successfully: olist_order_items_dataset, time taken 6.33 seconds
2025-12-13 11:38:29,140 - INFO - Loading table olist_order_payments_dataset with shape (103886, 5)
2025-12-13 11:38:33,534 - INFO - Loaded successfully: olist_order_payments_dataset, time taken 4.39 seconds
2025-12-13 11:38:34,044 - INFO - Loading table olist_order_reviews_dataset with shape (99224, 7)
2025-12-13 11:38:39,897 - INFO - Loaded successfully: olist_order_reviews_dataset, time taken 5.85 seconds
2025-12-13 11:38:39,959 - INFO - Loading table olist_products_dataset with shape (32951, 9)
2025-12-13 11:38:43,011 - INFO - Loaded successfully: olist_products_dataset, time taken 3.05 seconds
2025-12-13 11:38:43,018 - INFO - Loading table olist_sellers_dataset with shape (3095, 4)
2025-12-13 11:38:43,469 - INFO - Loaded successfully: olist_sellers_dataset, time taken 0.45 seconds
2025-12-13 11:38:43,471 - INFO - Loading table product_category_name_translation with shape (71, 2)
2025-12-13 11:38:43,660 - INFO - Loaded successfully: product_category_name_translation, time taken 0.19 seconds
