2025-12-06 02:51:01,108 - INFO - Importing data from kaggle API
2025-12-06 02:51:03,785 - INFO - Import Done, Time taken 2.68 seconds
2025-12-06 02:51:08,729 - INFO - Loading table olist_customers_dataset with shape (99441, 5)
2025-12-06 02:51:14,806 - INFO - Loaded successfully: olist_customers_dataset, time taken 6.08 seconds
2025-12-06 02:51:15,559 - INFO - Loading table olist_geolocation_dataset with shape (1000163, 5)
2025-12-06 02:51:48,952 - INFO - Loaded successfully: olist_geolocation_dataset, time taken 33.39 seconds
2025-12-06 02:51:49,354 - INFO - Loading table olist_orders_dataset with shape (99441, 8)
2025-12-06 02:51:53,962 - INFO - Loaded successfully: olist_orders_dataset, time taken 4.61 seconds
2025-12-06 02:51:54,252 - INFO - Loading table olist_order_items_dataset with shape (112650, 7)
2025-12-06 02:51:59,138 - INFO - Loaded successfully: olist_order_items_dataset, time taken 4.89 seconds
2025-12-06 02:51:59,248 - INFO - Loading table olist_order_payments_dataset with shape (103886, 5)
2025-12-06 02:52:03,522 - INFO - Loaded successfully: olist_order_payments_dataset, time taken 4.27 seconds
2025-12-06 02:52:03,896 - INFO - Loading table olist_order_reviews_dataset with shape (99224, 7)
2025-12-06 02:52:08,398 - INFO - Loaded successfully: olist_order_reviews_dataset, time taken 4.5 seconds
2025-12-06 02:52:08,449 - INFO - Loading table olist_products_dataset with shape (32951, 9)
2025-12-06 02:52:10,673 - INFO - Loaded successfully: olist_products_dataset, time taken 2.22 seconds
2025-12-06 02:52:10,680 - INFO - Loading table olist_sellers_dataset with shape (3095, 4)
2025-12-06 02:52:11,267 - INFO - Loaded successfully: olist_sellers_dataset, time taken 0.59 seconds
2025-12-06 02:52:11,270 - INFO - Loading table product_category_name_translation with shape (71, 2)
2025-12-06 02:52:11,508 - INFO - Loaded successfully: product_category_name_translation, time taken 0.24 seconds
