code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,total_vle_used,total_clicks,total_assessments,attempted_assessment,non_attempted_assessment,average_score
AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,-159.0,,55.0,934.0,5.0,5.0,0.0,82.0
AAA,2013J,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,-53.0,,84.0,1435.0,5.0,5.0,0.0,66.4
AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,-92.0,12.0,22.0,281.0,0.0,0.0,0.0,0.0
AAA,2013J,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,-52.0,,82.0,2158.0,5.0,5.0,0.0,76.0
AAA,2013J,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,-176.0,,66.0,1034.0,5.0,5.0,0.0,54.4
AAA,2013J,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,-110.0,,88.0,2445.0,5.0,5.0,0.0,68.0
AAA,2013J,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,-67.0,,59.0,1492.0,5.0,5.0,0.0,68.0
AAA,2013J,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-29.0,,66.0,1428.0,5.0,5.0,0.0,72.4
AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,-33.0,,76.0,1894.0,5.0,5.0,0.0,71.4
AAA,2013J,M,North Region,Post Graduate Qualification,,55<=,0,60,N,Pass,-179.0,,80.0,3158.0,5.0,5.0,0.0,78.0
AAA,2013J,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,-103.0,,76.0,1319.0,5.0,5.0,0.0,74.0
AAA,2013J,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-47.0,,74.0,1732.0,5.0,5.0,0.0,73.2
