2025-12-06 02:43:45,279 - INFO - Importing data from kaggle API
2025-12-06 02:43:46,648 - INFO - Import Done, Time taken 1.37 seconds
2025-12-06 02:43:51,633 - INFO - Loading table assessments with shape (206, 6)
2025-12-06 02:43:51,741 - INFO - Loaded successfully: assessments, time taken 0.11 seconds
2025-12-06 02:43:51,743 - INFO - Loading table courses with shape (22, 3)
2025-12-06 02:43:51,812 - INFO - Loaded successfully: courses, time taken 0.07 seconds
2025-12-06 02:43:51,881 - INFO - Loading table studentAssessment with shape (173912, 5)
2025-12-06 02:43:57,217 - INFO - Loaded successfully: studentAssessment, time taken 5.34 seconds
2025-12-06 02:43:57,278 - INFO - Loading table studentInfo with shape (32593, 12)
2025-12-06 02:43:59,490 - INFO - Loaded successfully: studentInfo, time taken 2.21 seconds
2025-12-06 02:43:59,510 - INFO - Loading table studentRegistration with shape (32593, 5)
2025-12-06 02:44:00,875 - INFO - Loaded successfully: studentRegistration, time taken 1.37 seconds
2025-12-06 02:44:05,331 - INFO - Loading table studentVle with shape (10655280, 6)
2025-12-06 02:48:58,826 - INFO - Loaded successfully: studentVle, time taken 293.49 seconds
2025-12-06 02:48:59,182 - INFO - Loading table vle with shape (6364, 6)
2025-12-06 02:49:00,042 - INFO - Loaded successfully: vle, time taken 0.86 seconds
