2025-12-06 02:35:44,845 - INFO - Downloading folder from Google Drive...
2025-12-06 02:37:12,646 - INFO - Download completed. Time taken -> 87.8 seconds
2025-12-06 02:37:12,804 - INFO - Loading table allergies with shape (597, 6)
2025-12-06 02:37:13,001 - INFO - Loaded successfully: allergies, time taken 0.2 seconds
2025-12-06 02:37:13,026 - INFO - Loading table careplans with shape (3483, 9)
2025-12-06 02:37:13,525 - INFO - Loaded successfully: careplans, time taken 0.5 seconds
2025-12-06 02:37:13,555 - INFO - Loading table conditions with shape (8376, 6)
2025-12-06 02:37:14,452 - INFO - Loaded successfully: conditions, time taken 0.9 seconds
2025-12-06 02:37:14,467 - INFO - Loading table devices with shape (78, 7)
2025-12-06 02:37:14,563 - INFO - Loaded successfully: devices, time taken 0.1 seconds
2025-12-06 02:37:14,830 - INFO - Loading table encounters with shape (53346, 15)
2025-12-06 02:37:21,054 - INFO - Loaded successfully: encounters, time taken 6.22 seconds
2025-12-06 02:37:21,079 - INFO - Loading table imaging_studies with shape (855, 10)
2025-12-06 02:37:21,362 - INFO - Loaded successfully: imaging_studies, time taken 0.28 seconds
2025-12-06 02:37:21,405 - INFO - Loading table immunizations with shape (15478, 6)
2025-12-06 02:37:22,414 - INFO - Loaded successfully: immunizations, time taken 1.01 seconds
2025-12-06 02:37:22,580 - INFO - Loading table medications with shape (42989, 13)
2025-12-06 02:37:26,284 - INFO - Loaded successfully: medications, time taken 3.7 seconds
2025-12-06 02:37:26,762 - INFO - Loading table observations with shape (299697, 8)
2025-12-06 02:37:40,318 - INFO - Loaded successfully: observations, time taken 13.56 seconds
2025-12-06 02:37:40,343 - INFO - Loading table organizations with shape (1119, 11)
2025-12-06 02:37:40,918 - INFO - Loaded successfully: organizations, time taken 0.58 seconds
2025-12-06 02:37:40,941 - INFO - Loading table patients with shape (1171, 25)
2025-12-06 02:37:41,527 - INFO - Loaded successfully: patients, time taken 0.59 seconds
2025-12-06 02:37:41,540 - INFO - Loading table payers with shape (10, 21)
2025-12-06 02:37:41,618 - INFO - Loaded successfully: payers, time taken 0.08 seconds
2025-12-06 02:37:41,637 - INFO - Loading table payer_transitions with shape (3801, 5)
2025-12-06 02:37:42,117 - INFO - Loaded successfully: payer_transitions, time taken 0.48 seconds
2025-12-06 02:37:42,202 - INFO - Loading table procedures with shape (34981, 8)
2025-12-06 02:37:44,313 - INFO - Loaded successfully: procedures, time taken 2.11 seconds
2025-12-06 02:37:44,346 - INFO - Loading table providers with shape (5855, 12)
2025-12-06 02:37:45,254 - INFO - Loaded successfully: providers, time taken 0.91 seconds
2025-12-06 02:37:45,264 - INFO - Loading table supplies with shape (0, 6)
2025-12-06 02:37:45,458 - INFO - Loaded successfully: supplies, time taken 0.19 seconds
